state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,dem_cand_link,rep_cand_link,third_cand_link
NC,NC-HD-90,R,Safe,Sarah Stevens,Beth Shaw,R,,,1.6635695465261409,D,37090,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_90,https://ballotpedia.org/Beth_Shaw,https://ballotpedia.org/Sarah_Stevens,
NC,NC-HD-81,R,Safe,Larry Potts,Robert Jordan,R,,,1.6563583414228262,D,37081,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_81,https://ballotpedia.org/Robert_Jordan_(North_Carolina),https://ballotpedia.org/Larry_Potts,
NC,NC-HD-87,R,Safe,Destin Hall,Corie Schreiber,R,,,1.6536390659198204,D,37087,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_87,https://ballotpedia.org/Corie_Schreiber,https://www.destinhall.org,
NC,NC-HD-120,R,Safe,Karl Gillespie,Susan Landis,Open,,,1.6530783283992454,D,37120,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_120,https://ballotpedia.org/Susan_Landis,https://ballotpedia.org/Karl_Gillespie,
NC,NC-HD-84,R,Safe,Jeffrey McNeely,Gayle Harris,R,,,1.6490205181697046,D,37084,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_84,https://gayleharrisnc.com,https://ballotpedia.org/Jeffrey_McNeely,
NC,NC-HD-97,R,Safe,Jason Saine,Greg McBryde,R,,,1.645957564831508,D,37097,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_97,https://ballotpedia.org/Greg_McBryde,https://www.jasonsaine.com,
NC,NC-HD-117,R,Safe,Timothy Moffitt,Josh Remillard,Open,,,1.644371823241063,D,37117,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_117,http://www.joshremillard.com/,https://ballotpedia.org/Timothy_Moffitt,
NC,NC-HD-65,R,Safe,Jerry Carter,Amanda Bell,R,,,1.6432624070713224,D,37065,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_65,https://ballotpedia.org/Amanda_Bell_(North_Carolina_state_legislative_candidate),https://jerrycarternc.com,
NC,NC-HD-62,R,Safe,John Faircloth,Brandon Gray,R,,,1.636063260839418,D,37062,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_62,https://www.brandongraync.com/,http://www.johnfaircloth62.com,
NC,NC-HD-77,R,Safe,Julia Howard,,R,,,1.6339408994712188,D,37077,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_77,,https://ballotpedia.org/Julia_Howard,
NC,NC-HD-28,R,Safe,Larry Strickland,Corey Stephens,R,,,1.629937354163024,D,37028,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_28,https://ballotpedia.org/Corey_Stephens,https://www.larrystrickland.org,
NC,NC-HD-13,R,Safe,Patricia McElraft,Buck Bayliff,R,,,1.6158284746130611,D,37013,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_13,https://www.bayliff4nc.com/,https://www.patmcelraft.com/,
NC,NC-HD-16,R,Safe,Carson Smith Jr.,Debbi Fintak,R,,,1.6101065401289096,D,37016,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_16,https://www.electdebbifintak.com/home,https://ballotpedia.org/Carson_Smith_Jr.,
